tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO;CANCELADA;2018-09-26;1:51:00;SANCHO;AV LIBERDADE;;AO LADO DO COLÉGIO BOM SENHOR ALVÁRO NEGRO MONTE // PRÓX À USF BIDU KRAUSE;COLISÃO;COLISÃO ENTRE AMBULÂNCIA E MOTO COM VÍTIMAS;;1;;;;;;1;;2;
COLISÃO;CANCELADA;2018-09-26;3:49:00;IMBIRIBEIRA;PRC MINISTRO SALGADO FILHO;;NO ESTACIONAMENTO DO AEROPORTO;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-26;7:12:00;JARDIM SÃO PAULO;AV RECIFE;6205;SENT/BOA VIAGEM 100 METROS APÓS A AMUPE;COLISÃO;SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO;CANCELADA;2018-09-26;7:23:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;E/F AO AEROPORTO S/T CID;COLISÃO;COLISAO ENTRE CAMINHAO DO LIXO E AUTO S/V;1;;;;;1;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;2018-09-26;8:13:00;BOMBA DO HEMETÉRIO;RUA BOMBA DO HEMETERIO;236;HA 30 METROS DO MERCADINHO COMPRE MAIS;COLISÃO COM CICLISTA;COM UMA VITIMA AGUARDANDO O SAMU;;;;1;;1;;;;1;
COLISÃO;FINALIZADA;2018-09-26;8:17:00;ENGENHO DO MEIO;RUA MANOEL CORTE REAL;372;E/F A OFICINA DO REGIS;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-26;8:21:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENTE A LOCALIZA / SENT CIDADE;COLISÃO;DOIS AUTO PASSEIO;2;;;;;;;;;0;
COLISÃO;CANCELADA;2018-09-26;8:46:00;AFOGADOS;RUA DO ACRE;;E/F AO MERCADO DE AFOGADOS  AO LADO DO TODO DIA;COLISÃO;COLISAO ENTRE ONIBUS E AUTO S/V;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-26;8:55:00;BOA VIAGEM;AV GENERAL MAC ARTHUR;;EM FRENTE  AO CONDOMINIO VITA;COLISÃO;SEM VITIMAS;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-26;9:24:00;AFOGADOS;RUA IMPERIAL;2026 A;SEMÁFORO 352 E/F A PERNAMBUCO ALUMINIOS;COLISÃO;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-26;10:24:00;AREIAS;AV RECIFE;1040;EM FRENTE A LOJA HM VEÍCULOS SENT/BOA VIAGEM;COLISÃO;SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;2018-09-26;11:01:00;CASA FORTE;AV DEZESSETE DE AGOSTO;;EM FRENTE A ACADEMIA CRUBE DEZESSETE/PRAÇA DO MONTEIRO;COLISÃO COM CICLISTA;SEM VITIMAS;1;;;1;;;;;;0;
COLISÃO;FINALIZADA;2018-09-26;12:01:00;ESPINHEIRO;AV NORTE;;PRÓX. A PRAÇA DA PICANHA // SEMÁFORO 376;COLISÃO;COLISÃO ENTRE DOIS AUTOS. S/V.;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-26;12:23:00;BOA VISTA;RUA DA SOLEDADE;94;DE ESQUINA COM A RUA MANOEL  BORBA  EM FRENTE  A LOJA OTICA MENOR PREÇO;COLISÃO;COLISÃO  SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-09-26;13:00:00;BOA VIAGEM;RUA JOSE DOMINGUES DA SILVA;147;CRUZAMENTO COM RUA BELMONTE, NA RUA FARMACIA PAGUE MENOS;COLISÃO;DOIS AUTOS S/V;2;;;;;;;;;0;
